date,tasa_de_interes
2002-09-03,9.9789
2002-09-04,10.0154
2002-09-05,10.0086
2002-09-06,9.9621
2002-09-09,9.9605
2002-09-10,9.9511
2002-09-11,9.9654
2002-09-12,10.0023
2002-09-13,9.9674
2002-09-17,9.9658
2002-09-18,10.0116
2002-09-19,10.0628
2002-09-20,10.2265
2002-09-23,10.3578
2002-09-24,10.2425
2002-09-25,10.2565
2002-09-26,10.1667
2002-09-27,10.1767
2002-09-30,10.2299
2002-10-01,10.1573
2002-10-02,10.1248
2002-10-03,10.1398
2002-10-04,10.184
2002-10-07,10.2154
2002-10-08,10.1575
2002-10-09,10.2048
2002-10-10,10.2195
2002-10-11,10.1592
2002-10-14,10.1084
2002-10-15,10.0683
2002-10-16,10.0757
2002-10-17,9.9988
2002-10-18,9.9842
2002-10-21,9.9383
2002-10-22,9.9723
2002-10-23,10.0079
2002-10-24,9.9468
2002-10-25,9.9816
2002-10-28,10.0003
2002-10-29,10.1593
2002-10-30,10.2263
2002-10-31,10.1552
2002-11-01,10.1992
2002-11-04,10.182
2002-11-05,10.2099
2002-11-06,10.1698
2002-11-07,10.2428
2002-11-08,10.2953
2002-11-11,10.3334
2002-11-12,10.3447
2002-11-13,10.2787
2002-11-14,10.2092
2002-11-15,10.2484
2002-11-18,10.176
2002-11-19,10.1635
2002-11-21,10.0874
2002-11-22,10.1333
2002-11-25,10.1065
2002-11-26,10.1535
2002-11-27,10.1496
2002-11-28,10.1193
2002-11-29,10.1465
2002-12-02,10.1036
2002-12-03,10.1421
2002-12-04,10.2287
2002-12-05,10.2452
2002-12-06,10.2724
2002-12-09,10.1852
2002-12-10,10.1744
2002-12-11,10.1785
2002-12-13,10.185
2002-12-16,10.1966
2002-12-17,10.2053
2002-12-18,10.2526
2002-12-19,10.192
2002-12-20,10.1836
2002-12-23,10.1907
2002-12-24,10.2014
2002-12-26,10.2479
2002-12-27,10.3125
2002-12-30,10.3613
2002-12-31,10.4393
2003-01-02,10.3626
2003-01-03,10.3856
2003-01-06,10.4195
2003-01-07,10.328
2003-01-08,10.3617
2003-01-09,10.4112
2003-01-10,10.4672
2003-01-13,10.5368
2003-01-14,10.5274
2003-01-15,10.4875
2003-01-16,10.5083
2003-01-17,10.59
2003-01-20,10.6222
2003-01-21,10.6866
2003-01-22,10.8263
2003-01-23,10.7708
2003-01-24,10.8267
2003-01-27,10.8875
2003-01-28,10.8842
2003-01-29,10.9863
2003-01-30,10.8636
2003-01-31,10.9069
2003-02-03,10.8833
2003-02-04,10.9822
2003-02-06,10.8731
2003-02-07,10.8979
2003-02-10,10.9948
2003-02-11,10.94
2003-02-12,10.9832
2003-02-13,10.9723
2003-02-14,10.8823
2003-02-17,10.7667
2003-02-18,10.7722
2003-02-19,10.84
2003-02-20,10.8998
2003-02-21,10.9798
2003-02-24,10.9815
2003-02-25,11.0584
2003-02-26,11.0329
2003-02-27,11.0333
2003-02-28,11.0324
2003-03-03,10.9902
2003-03-04,11.1367
2003-03-05,11.1927
2003-03-06,11.225
2003-03-07,11.1064
2003-03-10,11.0998
2003-03-11,11.0052
2003-03-12,10.9073
2003-03-13,10.8173
2003-03-14,10.8481
2003-03-17,10.8713
2003-03-18,10.8147
2003-03-19,10.8633
2003-03-20,10.8734
2003-03-24,10.8008
2003-03-25,10.72
2003-03-26,10.7498
2003-03-27,10.7671
2003-03-28,10.6698
2003-03-31,10.7889
2003-04-01,10.7362
2003-04-02,10.6676
2003-04-03,10.6619
2003-04-04,10.6823
2003-04-07,10.6896
2003-04-08,10.7398
2003-04-09,10.7541
2003-04-10,10.7651
2003-04-11,10.702
2003-04-14,10.6102
2003-04-15,10.6398
2003-04-16,10.6225
2003-04-21,10.5545
2003-04-22,10.5525
2003-04-23,10.5147
2003-04-24,10.4348
2003-04-25,10.4318
2003-04-28,10.4304
2003-04-29,10.345
2003-04-30,10.3
2003-05-02,10.2003
2003-05-05,10.1817
2003-05-06,10.2678
2003-05-07,10.2115
2003-05-08,10.17
2003-05-09,10.1068
2003-05-12,10.1773
2003-05-13,10.1605
2003-05-14,10.1428
2003-05-15,10.2927
2003-05-16,10.376
2003-05-19,10.3498
2003-05-20,10.2663
2003-05-21,10.253
2003-05-22,10.2383
2003-05-23,10.2473
2003-05-26,10.2519
2003-05-27,10.3166
2003-05-28,10.4063
2003-05-29,10.3205
2003-05-30,10.3377
2003-06-02,10.2402
2003-06-03,10.2598
2003-06-04,10.3882
2003-06-05,10.5598
2003-06-06,10.5608
2003-06-09,10.7431
2003-06-10,10.7145
2003-06-11,10.6119
2003-06-12,10.5775
2003-06-13,10.5946
2003-06-16,10.4983
2003-06-17,10.5014
2003-06-18,10.5883
2003-06-19,10.4858
2003-06-20,10.4669
2003-06-23,10.4796
2003-06-24,10.5188
2003-06-25,10.4734
2003-06-26,10.4808
2003-06-27,10.4176
2003-06-30,10.437
2003-07-01,10.4495
2003-07-02,10.4779
2003-07-03,10.447
2003-07-04,10.4087
2003-07-07,10.3946
2003-07-08,10.543
2003-07-09,10.4795
2003-07-10,10.4482
2003-07-11,10.4213
2003-07-14,10.3821
2003-07-15,10.4308
2003-07-16,10.4079
2003-07-17,10.349
2003-07-18,10.36
2003-07-21,10.4105
2003-07-22,10.4362
2003-07-23,10.516
2003-07-24,10.5203
2003-07-25,10.5095
2003-07-28,10.4645
2003-07-29,10.4878
2003-07-30,10.487
2003-07-31,10.5243
2003-08-01,10.5997
2003-08-04,10.5864
2003-08-05,10.7117
2003-08-06,10.7058
2003-08-07,10.7001
2003-08-08,10.6623
2003-08-11,10.6909
2003-08-12,10.7448
2003-08-13,10.7562
2003-08-14,10.6961
2003-08-15,10.7273
2003-08-18,10.723
2003-08-19,10.8007
2003-08-20,10.8379
2003-08-21,10.8507
2003-08-22,10.8615
2003-08-25,10.8753
2003-08-26,10.9118
2003-08-27,10.9337
2003-08-28,10.9806
2003-08-29,11.0475
2003-09-01,11.046
2003-09-02,11.0313
2003-09-03,10.9386
2003-09-04,10.8575
2003-09-05,10.862
2003-09-08,10.9185
2003-09-09,11.0233
2003-09-10,10.9502
2003-09-11,10.9737
2003-09-12,10.9793
2003-09-15,10.9713
2003-09-17,10.9054
2003-09-18,10.9163
2003-09-19,10.8955
2003-09-22,10.8275
2003-09-23,10.7741
2003-09-24,10.7975
2003-09-25,10.8115
2003-09-26,10.9272
2003-09-29,11.0446
2003-09-30,11.0133
2003-10-01,10.9614
